Time, v1, v2, v3, v4, CarPosX, CarPosY, CarPosZ, Angle
0.2874901, 0, 0, 0, 0, -2.843744E-06, 0.01665234, -0.0007266738, -0.002141179
0.5876211, 0, 0, 0, 0, -5.535772E-06, 0.01665185, -0.0007162131, -0.004162923
0.8882264, 0, 0, 0, 0, -7.950749E-06, 0.01665303, -0.0007314086, 359.994
1.188836, 0, 0, 0, 0, -7.93518E-06, 0.01665194, -0.0007200316, 359.994
1.489801, 0, 0, 0, 0, -1.009313E-05, 0.01665193, -0.0007229298, 359.9923
1.790069, 0, 0, 0, 0, -1.212967E-05, 0.01665232, -0.0007280242, 359.9907
2.090903, 50, 50, 50, 50, -8.801692E-06, 0.01678915, -0.001558237, 359.9908
2.391386, 50, 50, 50, 50, -1.493676E-05, 0.01728683, -0.006853458, 359.9901
2.691595, 400, 400, 400, 400, -5.122225E-05, 0.01778836, -0.04174535, 359.9636
2.992073, 850, 850, 850, 850, -4.976385E-05, 0.01877706, -0.1637012, 359.9048
3.292376, 1000, 1000, 1000, 1000, 0.0002570585, 0.01838185, -0.3637832, 359.9858
3.592918, 1000, 1000, 1000, 1000, 7.730502E-05, 0.01872857, -0.5727246, 0.07450666
3.893542, 1000, 1000, 1000, 1000, -0.0001788216, 0.01877813, -0.7824792, 0.1547978
4.193909, 1000, 1000, 1000, 1000, -0.0007434678, 0.01889278, -0.9908983, 0.265395
4.494179, 1000, 1000, 1000, 1000, -0.001587803, 0.01914133, -1.199873, 0.09860541
4.794201, 1000, 1000, 1000, 1000, -0.001950368, 0.01915129, -1.407912, 0.2163108
5.094758, 1000, 1000, 1000, 1000, -0.002838198, 0.01798039, -1.618455, 0.2314033
5.394843, 1000, 1000, 1000, 1000, -0.003817757, 0.01934512, -1.826915, 0.2568282
5.695364, 1000, 1000, 1000, 1000, -0.004668815, 0.01893809, -2.036494, 0.2780182
5.995862, 1000, 1000, 1000, 1000, -0.005768821, 0.01938733, -2.245214, 0.335156
6.296625, 1000, 1000, 1000, 1000, -0.007088982, 0.01936159, -2.454348, 0.2906505
6.597677, 1000, 1000, 1000, 1000, -0.007901125, 0.01891399, -2.66523, 0.3689051
6.898338, 1000, 1000, 1000, 1000, -0.008901061, 0.0195172, -2.872465, 0.2962205
7.198363, 900, 1000, 900, 1000, -0.009919504, 0.01896831, -3.071854, 0.1853702
7.499477, 700, 1000, 700, 1000, -0.01056779, 0.01952291, -3.267285, 359.868
7.799529, -200, 1000, -200, 1000, -0.01886552, 0.01865433, -3.403664, 351.8591
8.100225, -1000, 1000, -1000, 1000, -0.05435316, 0.01940687, -3.462272, 314.4839
8.400379, -1000, 1000, -1000, 1000, -0.08005395, 0.01939794, -3.505017, 277.3999
8.700775, -1000, 1000, -1000, 1000, -0.06939989, 0.01917719, -3.551768, 238.5783
9.002029, -1000, 1000, -1000, 1000, -0.02872863, 0.01894184, -3.581694, 203.2272
9.302928, -1000, 1000, -1000, 1000, 0.01670308, 0.01985809, -3.602704, 166.3107
9.603239, -1000, 1000, -1000, 1000, 0.05798052, 0.01871902, -3.580187, 125.3091
9.903452, -950, 950, -950, 950, 0.07240431, 0.01920127, -3.540095, 87.61076
10.2043, -900, 900, -900, 900, 0.07423984, 0.01941713, -3.488972, 55.48502
10.50527, -450, 450, -450, 450, 0.05150453, 0.01787013, -3.465556, 29.89398
10.80615, 0, 0, 0, 0, 0.04453056, 0.01728229, -3.460572, 24.95574
11.10674, 0, 0, 0, 0, 0.04445272, 0.01728796, -3.460753, 24.96891
11.40734, 0, 0, 0, 0, 0.04422253, 0.01730128, -3.461272, 24.97528
11.70808, -50, 50, -50, 50, 0.04397364, 0.01732131, -3.461677, 24.84587
12.00822, -50, 50, -50, 50, 0.04380777, 0.01732791, -3.461998, 24.79896
12.30942, -550, 550, -550, 550, 0.03197806, 0.01809267, -3.458396, 17.51049
12.60981, -1000, 1000, -1000, 1000, -0.00723019, 0.01912259, -3.445503, 352.0098
12.91073, -1000, 1000, -1000, 1000, -0.03639891, 0.01938648, -3.465304, 306.5884
13.21077, -1000, 1000, -1000, 1000, -0.04602971, 0.01963433, -3.498623, 258.7385
13.5113, -1000, 1000, -1000, 1000, -0.01942666, 0.01946606, -3.524742, 214.4601
13.81226, -1000, 1000, -1000, 1000, 0.02410784, 0.0191218, -3.534708, 173.1424
14.11257, -1000, 1000, -1000, 1000, 0.05478258, 0.01811072, -3.507757, 128.8332
14.41321, -1000, 1000, -1000, 1000, 0.05562569, 0.01979963, -3.476674, 82.64252
14.71322, -1000, 1000, -1000, 1000, 0.03086321, 0.01923155, -3.454548, 32.74257
15.01363, -1000, 1000, -1000, 1000, 0.001282111, 0.01954371, -3.45164, 344.5643
15.31427, -1000, 1000, -1000, 1000, -0.02383716, 0.01939777, -3.475113, 299.0958
15.61474, -1000, 1000, -1000, 1000, -0.02851594, 0.01897543, -3.506432, 250.1582
15.91539, -1000, 1000, -1000, 1000, -0.00279812, 0.01974044, -3.5322, 204.0805
16.21614, -1000, 1000, -1000, 1000, 0.03421204, 0.01968328, -3.528666, 157.0392
16.51633, -1000, 1000, -1000, 1000, 0.0641178, 0.0194234, -3.490379, 116.1882
16.81745, -1000, 1000, -1000, 1000, 0.06507687, 0.01961919, -3.43686, 81.84551
17.11853, -1000, 1000, -1000, 1000, 0.03676794, 0.0192719, -3.393076, 42.25475
17.41951, -1000, 1000, -1000, 1000, -0.002067429, 0.01850815, -3.370712, 3.845099
