Time, v1, v2, v3, v4, CarPosX, CarPosY, CarPosZ, Angle
0.2816122, 453.2894, -372.6211, 453.2894, -372.6211, 0.003863822, 0.01783862, -0.0024487, 2.963199
0.5832429, 453.2894, -372.6211, 453.2894, -372.6211, 0.02258718, 0.01790524, -0.01446308, 15.12263
0.8834711, 453.2894, -372.6211, 453.2894, -372.6211, 0.0390331, 0.0177682, -0.02975489, 27.37801
1.18382, 453.2894, -372.6211, 453.2894, -372.6211, 0.05191147, 0.01800985, -0.04588115, 39.43314
1.483912, 282.007, 303.9699, 282.007, 303.9699, 0.02585229, 0.01762731, -0.08203819, 42.64616
1.78469, 282.007, 303.9699, 282.007, 303.9699, -0.01335686, 0.01758152, -0.124597, 42.60126
2.085405, 282.007, 303.9699, 282.007, 303.9699, -0.05320062, 0.0176235, -0.1680338, 42.58843
2.386292, 96.08458, 420.1348, 96.08458, 420.1348, -0.092218, 0.01758741, -0.2099091, 42.24731
2.687454, 96.08458, 420.1348, 96.08458, 420.1348, -0.1287244, 0.01744482, -0.2477831, 40.9038
2.987663, 96.08458, 420.1348, 96.08458, 420.1348, -0.1641887, 0.01757392, -0.2863615, 39.58711
3.288298, 96.08458, 420.1348, 96.08458, 420.1348, -0.1984953, 0.01752904, -0.3257556, 38.44871
3.588738, 110.4723, 189.9346, 110.4723, 189.9346, -0.2231706, 0.01739489, -0.3553733, 37.71634
3.889765, 110.4723, 189.9346, 110.4723, 189.9346, -0.2422968, 0.01730631, -0.3795069, 37.45737
4.189794, 110.4723, 189.9346, 110.4723, 189.9346, -0.2610152, 0.0173092, -0.4029657, 37.05111
4.490673, -431.774, 371.5105, -431.774, 371.5105, -0.279267, 0.01758621, -0.4243003, 36.01004
4.790895, -431.774, 371.5105, -431.774, 371.5105, -0.2928217, 0.01782476, -0.4080575, 24.22449
5.091259, -431.774, 371.5105, -431.774, 371.5105, -0.305779, 0.01783104, -0.3888407, 13.09815
5.392267, -431.774, 371.5105, -431.774, 371.5105, -0.3226137, 0.01768368, -0.3734342, 1.732595
5.693102, -221.7665, 237.8612, -221.7665, 237.8612, -0.3358398, 0.01756519, -0.3662913, 354.0567
5.994036, -221.7665, 237.8612, -221.7665, 237.8612, -0.342985, 0.01751307, -0.3725945, 349.3155
6.294067, -221.7665, 237.8612, -221.7665, 237.8612, -0.3495684, 0.01753251, -0.3796304, 344.5791
6.594907, 270.4194, -474.8599, 270.4194, -474.8599, -0.3568606, 0.01710038, -0.3862273, 339.3529
6.895034, 270.4194, -474.8599, 270.4194, -474.8599, -0.3413274, 0.01763339, -0.362883, 351.7148
7.195819, 270.4194, -474.8599, 270.4194, -474.8599, -0.3247675, 0.01759165, -0.3384144, 4.652345
7.496154, 270.4194, -474.8599, 270.4194, -474.8599, -0.309426, 0.01783478, -0.3165233, 17.57835
7.796651, 292.166, 72.01128, 292.166, 72.01128, -0.3003507, 0.01721553, -0.3223586, 24.86687
8.097187, 292.166, 72.01128, 292.166, 72.01128, -0.3147491, 0.01754225, -0.3559549, 25.67819
8.397815, 292.166, 72.01128, 292.166, 72.01128, -0.3299246, 0.01706464, -0.3902945, 26.59693
8.698594, 292.166, 72.01128, 292.166, 72.01128, -0.3449205, 0.01742934, -0.4229347, 27.47312
8.999547, -213.109, 499.192, -213.109, 499.192, -0.3748807, 0.01770516, -0.4435379, 15.52272
9.300529, -213.109, 499.192, -213.109, 499.192, -0.4018035, 0.01789033, -0.4702381, 1.480433
9.600907, -213.109, 499.192, -213.109, 499.192, -0.4221573, 0.01774538, -0.4984302, 347.5735
9.901893, 291.0746, 128.5511, 291.0746, 128.5511, -0.4228204, 0.01736259, -0.5328202, 340.6974
10.20311, 291.0746, 128.5511, 291.0746, 128.5511, -0.4083892, 0.01749009, -0.5715117, 341.3536
10.50401, 291.0746, 128.5511, 291.0746, 128.5511, -0.394247, 0.01746737, -0.6104904, 342.12
10.80502, 291.0746, 128.5511, 291.0746, 128.5511, -0.3804902, 0.01730378, -0.649914, 342.8698
11.10519, -283.8592, -303.3915, -283.8592, -303.3915, -0.3933662, 0.01767364, -0.6073152, 342.9866
11.40523, -283.8592, -303.3915, -283.8592, -303.3915, -0.409298, 0.01762998, -0.5540567, 343.1367
11.7056, -283.8592, -303.3915, -283.8592, -303.3915, -0.4250134, 0.01769773, -0.50091, 343.3153
12.00634, -371.6183, 393.4491, -371.6183, 393.4491, -0.4418591, 0.01771933, -0.4646631, 339.1888
12.30732, -371.6183, 393.4491, -371.6183, 393.4491, -0.4600687, 0.01793766, -0.4719292, 327.3145
12.60821, -371.6183, 393.4491, -371.6183, 393.4491, -0.4757484, 0.01773174, -0.4834337, 315.5133
12.90829, -371.6183, 393.4491, -371.6183, 393.4491, -0.4882642, 0.01772092, -0.4996622, 303.3708
13.20837, 225.861, -106.1121, 225.861, -106.1121, -0.478221, 0.01749614, -0.5054809, 303.7636
13.50941, 225.861, -106.1121, 225.861, -106.1121, -0.4630214, 0.01742291, -0.510864, 306.3439
13.81003, 225.861, -106.1121, 225.861, -106.1121, -0.4494062, 0.01737563, -0.5168636, 308.4998
14.11043, -172.3506, -85.08796, -172.3506, -85.08796, -0.4416409, 0.01731898, -0.5193018, 310.3095
14.4114, -172.3506, -85.08796, -172.3506, -85.08796, -0.4595828, 0.01743612, -0.5047051, 310.0386
14.7134, -172.3506, -85.08796, -172.3506, -85.08796, -0.4783799, 0.01727519, -0.4896417, 309.764
15.01371, -172.3506, -85.08796, -172.3506, -85.08796, -0.4966529, 0.01739314, -0.47457, 309.6815
15.31451, 302.4574, -235.959, 302.4574, -235.959, -0.4943748, 0.01757001, -0.4676505, 313.9608
15.61504, 302.4574, -235.959, 302.4574, -235.959, -0.4815354, 0.01758619, -0.4647911, 320.8648
15.91623, 302.4574, -235.959, 302.4574, -235.959, -0.4678548, 0.01755914, -0.4683919, 326.2917
16.21727, -95.96892, 440.6678, -95.96892, 440.6678, -0.4539191, 0.01744637, -0.4780642, 330.645
16.51751, -95.96892, 440.6678, -95.96892, 440.6678, -0.4458631, 0.01751424, -0.5166774, 322.0971
16.8176, -95.96892, 440.6678, -95.96892, 440.6678, -0.429983, 0.01752684, -0.5525904, 314.6195
17.11825, -95.96892, 440.6678, -95.96892, 440.6678, -0.4065032, 0.01752773, -0.5852627, 309.5978
17.41833, -209.2896, 491.038, -209.2896, 491.038, -0.387828, 0.01769568, -0.616452, 298.9862
17.71975, -209.2896, 491.038, -209.2896, 491.038, -0.3701065, 0.01752403, -0.6456689, 285.4314
18.02018, -209.2896, 491.038, -209.2896, 491.038, -0.3425185, 0.01773445, -0.6713724, 271.6037
18.32333, 302.8621, 136.5457, 302.8621, 136.5457, -0.3091195, 0.01750828, -0.6845474, 261.5936
18.62342, 302.8621, 136.5457, 302.8621, 136.5457, -0.2660606, 0.01747344, -0.677296, 262.3185
18.92348, 302.8621, 136.5457, 302.8621, 136.5457, -0.2231647, 0.01746883, -0.6706194, 263.0012
19.22364, 302.8621, 136.5457, 302.8621, 136.5457, -0.1799483, 0.01752289, -0.664544, 263.6206
19.52609, 433.864, -154.9237, 433.864, -154.9237, -0.1459103, 0.01732663, -0.6549633, 267.5863
19.82636, 433.864, -154.9237, 433.864, -154.9237, -0.1177636, 0.01772581, -0.6429265, 275.1166
20.12708, 433.864, -154.9237, 433.864, -154.9237, -0.08721039, 0.01759523, -0.6333335, 284.0506
20.42817, 136.5738, 72.79787, 136.5738, 72.79787, -0.05706795, 0.0173751, -0.6290883, 292.2116
20.72917, 136.5738, 72.79787, 136.5738, 72.79787, -0.03786494, 0.01744456, -0.6369153, 292.2144
21.02981, 136.5738, 72.79787, 136.5738, 72.79787, -0.01818126, 0.01726966, -0.6445931, 292.4613
21.33044, 136.5738, 72.79787, 136.5738, 72.79787, 0.001741026, 0.01741191, -0.6523106, 292.7733
21.63094, 371.6704, -197.2141, 371.6704, -197.2141, 0.02354736, 0.01774804, -0.6543341, 297.0135
