Time, v1, v2, v3, v4, CarPosX, CarPosY, CarPosZ, Angle
0.2805975, 368.1149, -559.1798, 368.1149, -559.1798, 0.01790625, 0.01786406, 0.003442654, 10.61004
0.5817462, 365.2198, -563.702, 365.2198, -563.702, 0.05074859, 0.01793106, 0.01493995, 28.03504
0.8826817, 371.0203, -498.0147, 371.0203, -498.0147, 0.07899521, 0.0178259, 0.01239435, 42.67632
1.183113, 376.997, -465.2544, 376.997, -465.2544, 0.1047698, 0.01768915, 0.003097359, 56.42005
1.48354, 385.776, -445.0707, 385.776, -445.0707, 0.1295972, 0.01788532, -0.006287543, 68.91194
1.784045, 392.7939, -446.0358, 392.7939, -446.0358, 0.1445428, 0.01789096, -0.02313783, 82.82746
2.084854, 398.0671, -452.2461, 398.0671, -452.2461, 0.1549308, 0.01793714, -0.04403451, 96.10373
2.385253, 402.1825, -456.5653, 402.1825, -456.5653, 0.1618104, 0.0179094, -0.06885464, 109.4599
2.685448, 405.5908, -458.2769, 405.5908, -458.2769, 0.160668, 0.01761842, -0.09263664, 122.8928
2.986811, 406.6111, -458.492, 406.6111, -458.492, 0.1536212, 0.01793151, -0.1159974, 136.5076
3.287255, 406.6111, -458.492, 406.6111, -458.492, 0.1431214, 0.01787418, -0.1397326, 150.2488
3.587573, 406.6111, -458.492, 406.6111, -458.492, 0.1281845, 0.01792473, -0.1596992, 163.8622
3.888596, 165.6861, -454.6563, 165.6861, -454.6563, 0.107923, 0.01767335, -0.1738459, 177.0052
4.189369, -318.1089, -422.3522, -318.1089, -422.3522, 0.1055526, 0.01772236, -0.2289754, 179.0714
4.490135, -453.3951, -403.1262, -453.3951, -403.1262, 0.1067715, 0.01798553, -0.3085872, 179.0856
4.790624, -422.9175, -405.6833, -422.9175, -405.6833, 0.1080702, 0.01783676, -0.3905606, 179.054
5.091026, -370.192, -418.0894, -370.192, -418.0894, 0.1092684, 0.01751998, -0.4680644, 179.0459
5.39142, -343.7592, -430.5935, -343.7592, -430.5935, 0.1101082, 0.01773757, -0.5440012, 179.2755
5.691499, -339.8919, -439.9317, -339.8919, -439.9317, 0.1094829, 0.01752268, -0.6189668, 179.9521
5.991901, -344.198, -446.5068, -344.198, -446.5068, 0.1086266, 0.01769808, -0.6946524, 180.3271
6.292465, -348.22, -451.4942, -348.22, -451.4942, 0.1074218, 0.01779619, -0.7715353, 180.6562
6.593067, -349.9995, -455.6507, -349.9995, -455.6507, 0.1055167, 0.01785155, -0.8487496, 181.1172
6.893887, -350.32, -458.1098, -350.32, -458.1098, 0.1027196, 0.01771418, -0.9267389, 181.6217
7.194257, -350.32, -458.1098, -350.32, -458.1098, 0.09956837, 0.01786891, -1.005444, 182.0408
7.494743, -350.32, -458.1098, -350.32, -458.1098, 0.09569021, 0.01774694, -1.084457, 182.4854
7.796264, -350.32, -458.1098, -350.32, -458.1098, 0.09113733, 0.01779677, -1.162375, 182.967
8.097236, 161.8681, -237.0526, 161.8681, -237.0526, 0.0871264, 0.0174569, -1.207111, 183.8689
