Time,v1,v2,v3,v4,CarPosX,CarPosY,CarPosZ,Angle
0.0805111,-100.0,100.0,-100.0,100.0, -1.191728E-06, 0.01731556, 0.003466967, -0.001019246
0.1816756,-100.0,100.0,-100.0,100.0, -7.53229E-07, 0.01739918, 0.0141931, -0.002725937
0.2822914,-100.0,100.0,-100.0,100.0, 1.261622E-06, 0.01754339, 0.02529738, -0.003717241
0.3823884,-100.0,100.0,-100.0,100.0, -4.808228E-05, 0.01730273, 0.03711457, 359.9678
0.4825095,-100.0,100.0,-100.0,100.0, -5.931566E-05, 0.01742856, 0.04865124, 359.9671
0.5832218,-100.0,100.0,-100.0,100.0, -7.575202E-05, 0.01703028, 0.06070093, 359.9608
0.6841583,-100.0,100.0,-100.0,100.0, -7.992691E-05, 0.01758354, 0.07117897, 359.9629
0.7853875,-100.0,100.0,-100.0,100.0, -9.785563E-05, 0.01757069, 0.08262141, 359.9557
0.8855535,-100.0,100.0,-100.0,100.0, -0.000127929, 0.01758514, 0.09413836, 359.9435
0.985735,-100.0,100.0,-100.0,100.0, -0.0001274128, 0.01742589, 0.1055959, 359.9447
1.086112,-100.0,100.0,-100.0,100.0, -0.0001465789, 0.01758198, 0.1164523, 359.9409
1.187156,-100.0,100.0,-100.0,100.0, -0.0001703255, 0.01731646, 0.1279116, 359.9366
1.288199,-100.0,100.0,-100.0,100.0, -0.0001812571, 0.0174711, 0.1387706, 359.9294
1.388231,-100.0,100.0,-100.0,100.0, -0.0002198904, 0.01760495, 0.1498346, 359.9082
1.489233,-100.0,100.0,-100.0,100.0, -0.0002661206, 0.01747124, 0.1610697, 359.8988
1.590423,-100.0,100.0,-100.0,100.0, -0.0002562086, 0.01760497, 0.1722815, 359.9081
1.691111,-100.0,100.0,-100.0,100.0, -0.0002845489, 0.01720174, 0.1843967, 359.8999
1.791132,-100.0,100.0,-100.0,100.0, -0.0003055849, 0.01740211, 0.1951268, 359.8994
1.892099,-100.0,100.0,-100.0,100.0, -0.0003047991, 0.0174231, 0.2066952, 359.9095
1.993645,-100.0,100.0,-100.0,100.0, -0.0003491187, 0.01760935, 0.2177999, 359.892
2.094545,-200.0,-200.0,-200.0,-200.0, -0.0003641142, 0.01753199, 0.2295036, 359.8927
2.194867,-200.0,-200.0,-200.0,-200.0, -0.0003870725, 0.01730543, 0.2410444, 359.8899
2.296183,-200.0,-200.0,-200.0,-200.0, -0.0004239949, 0.01739426, 0.2534788, 359.8849
2.397521,-200.0,-200.0,-200.0,-200.0, -0.0004458234, 0.017581, 0.2705562, 359.8875
2.499505,-200.0,-200.0,-200.0,-200.0, -0.00050851, 0.01742365, 0.288644, 359.8879
2.600343,-200.0,-200.0,-200.0,-200.0, -0.0005702192, 0.01723605, 0.3103641, 359.857
2.700939,-200.0,-200.0,-200.0,-200.0, -0.000607879, 0.01773129, 0.3269287, 359.8608
2.801135,-200.0,-200.0,-200.0,-200.0, -0.0006644477, 0.01771415, 0.3446932, 359.8558
2.902561,-200.0,-200.0,-200.0,-200.0, -0.0007293003, 0.01762192, 0.3623611, 359.8438
3.003878,-200.0,-200.0,-200.0,-200.0, -0.0007870374, 0.01760224, 0.3796269, 359.8395
3.104241,-200.0,-200.0,-200.0,-200.0, -0.00085374, 0.01772684, 0.3968544, 359.825
3.204324,-200.0,-200.0,-200.0,-200.0, -0.0009013323, 0.01771177, 0.414095, 359.8277
3.30514,-200.0,-200.0,-200.0,-200.0, -0.0009731326, 0.01756276, 0.4320532, 359.8153
3.40604,-200.0,-200.0,-200.0,-200.0, -0.001019287, 0.01749208, 0.4493168, 359.8245
3.507065,-200.0,-200.0,-200.0,-200.0, -0.001014886, 0.01771583, 0.4671972, 359.8467
3.607202,-200.0,-200.0,-200.0,-200.0, -0.001076036, 0.01763446, 0.4849366, 359.8387
3.707878,-200.0,-200.0,-200.0,-200.0, -0.001166685, 0.0171544, 0.5027423, 359.819
3.809008,-200.0,-200.0,-200.0,-200.0, -0.001196158, 0.01758766, 0.5200654, 359.834
3.909086,-200.0,-200.0,-200.0,-200.0, -0.001271839, 0.01751286, 0.5381117, 359.8031
4.009865,-300.0,-300.0,-300.0,-300.0, -0.001359617, 0.01741122, 0.5564121, 359.8061
4.110407,-300.0,-300.0,-300.0,-300.0, -0.001433181, 0.01775926, 0.573802, 359.7923
4.21157,-300.0,-300.0,-300.0,-300.0, -0.001441761, 0.01761579, 0.5918779, 359.8211
4.312534,-300.0,-300.0,-300.0,-300.0, -0.001544755, 0.01767676, 0.6096929, 359.7897
4.41413,-300.0,-300.0,-300.0,-300.0, -0.00161254, 0.01724888, 0.6274392, 359.7945
4.515364,-300.0,-300.0,-300.0,-300.0, -0.001703574, 0.01763183, 0.6444822, 359.7733
4.616477,-300.0,-300.0,-300.0,-300.0, -0.001808579, 0.01770963, 0.6619316, 359.756
4.717165,-300.0,-300.0,-300.0,-300.0, -0.001863962, 0.01772603, 0.6799129, 359.7574
4.818532,-300.0,-300.0,-300.0,-300.0, -0.001948912, 0.01751705, 0.6974776, 359.7498
4.919344,-300.0,-300.0,-300.0,-300.0, -0.002010152, 0.01781634, 0.7196024, 359.7622
5.020254,-300.0,-300.0,-300.0,-300.0, -0.002147141, 0.01728962, 0.7491161, 359.7425
5.120609,-300.0,-300.0,-300.0,-300.0, -0.002203817, 0.01776024, 0.7728142, 359.7905
5.222243,-300.0,-300.0,-300.0,-300.0, -0.002323901, 0.01769638, 0.7975722, 359.7769
5.323631,-300.0,-300.0,-300.0,-300.0, -0.002409702, 0.01778416, 0.8218138, 359.7881
5.423887,-300.0,-300.0,-300.0,-300.0, -0.002472812, 0.01780375, 0.8458949, 359.7928
5.5252,-300.0,-300.0,-300.0,-300.0, -0.00254337, 0.01792888, 0.8702412, 359.8026
5.62648,-300.0,-300.0,-300.0,-300.0, -0.00263663, 0.01787428, 0.8940623, 359.792
5.726744,-300.0,-300.0,-300.0,-300.0, -0.002715821, 0.0179437, 0.9179626, 359.7883
5.828,-300.0,-300.0,-300.0,-300.0, -0.002838981, 0.0173899, 0.9425398, 359.7839
5.928389,-300.0,-300.0,-300.0,-300.0, -0.002813018, 0.01788537, 0.9666392, 359.825
6.029552,-400.0,-400.0,-400.0,-400.0, -0.002883962, 0.01775827, 0.991116, 359.8229
6.130275,-400.0,-400.0,-400.0,-400.0, -0.003032253, 0.01776812, 1.015373, 359.7904
6.230576,-400.0,-400.0,-400.0,-400.0, -0.003062991, 0.01741192, 1.039876, 359.8028
6.330713,-400.0,-400.0,-400.0,-400.0, -0.003111773, 0.01722706, 1.065, 359.813
6.431625,-400.0,-400.0,-400.0,-400.0, -0.003083812, 0.01777903, 1.08885, 359.8956
6.531636,-400.0,-400.0,-400.0,-400.0, -0.003212309, 0.01784096, 1.113613, 359.834
6.632373,-400.0,-400.0,-400.0,-400.0, -0.003315841, 0.01788517, 1.137682, 359.8163
6.733117,-400.0,-400.0,-400.0,-400.0, -0.003408389, 0.01790187, 1.161604, 359.8066
6.834151,-400.0,-400.0,-400.0,-400.0, -0.003434027, 0.0178041, 1.186186, 359.8313
6.935284,-400.0,-400.0,-400.0,-400.0, -0.00353482, 0.01756587, 1.210465, 359.8068
7.035599,-400.0,-400.0,-400.0,-400.0, -0.003642946, 0.0176999, 1.235223, 359.7919
7.136912,-400.0,-400.0,-400.0,-400.0, -0.003683745, 0.01741898, 1.259694, 359.823
7.237195,-400.0,-400.0,-400.0,-400.0, -0.003798086, 0.01771347, 1.284234, 359.7888
7.337499,-400.0,-400.0,-400.0,-400.0, -0.004139303, 0.0176247, 1.30942, 359.6765
7.438416,-400.0,-400.0,-400.0,-400.0, -0.00427025, 0.01795423, 1.33348, 359.6746
7.538698,-400.0,-400.0,-400.0,-400.0, -0.004485107, 0.01781642, 1.363813, 359.6672
7.640069,-400.0,-400.0,-400.0,-400.0, -0.004592675, 0.01806804, 1.400179, 359.6957
7.740832,-400.0,-400.0,-400.0,-400.0, -0.004841996, 0.0180746, 1.430875, 359.6528
7.842667,-400.0,-400.0,-400.0,-400.0, -0.005119756, 0.01778923, 1.461764, 359.6436
7.944078,-400.0,-400.0,-400.0,-400.0, -0.005249321, 0.01799122, 1.492999, 359.6568
8.045534,-500.0,-500.0,-500.0,-500.0, -0.005303054, 0.01786133, 1.524126, 359.6999
8.145834,-500.0,-500.0,-500.0,-500.0, -0.005557035, 0.01759832, 1.555534, 359.6828
8.246691,-500.0,-500.0,-500.0,-500.0, -0.005539328, 0.01820655, 1.58628, 359.7628
8.347603,-500.0,-500.0,-500.0,-500.0, -0.005749957, 0.01782947, 1.617549, 359.7377
8.448492,-500.0,-500.0,-500.0,-500.0, -0.005792183, 0.01813176, 1.648067, 359.7791
8.549587,-500.0,-500.0,-500.0,-500.0, -0.005958117, 0.01794152, 1.678926, 359.7333
8.649662,-500.0,-500.0,-500.0,-500.0, -0.006205826, 0.01796943, 1.709972, 359.7014
8.751837,-500.0,-500.0,-500.0,-500.0, -0.006162945, 0.01798306, 1.74113, 359.785
8.853238,-500.0,-500.0,-500.0,-500.0, -0.006383568, 0.01800008, 1.772356, 359.7434
8.953514,-500.0,-500.0,-500.0,-500.0, -0.006526612, 0.01782226, 1.804065, 359.76
9.055374,-500.0,-500.0,-500.0,-500.0, -0.006505306, 0.0181941, 1.834983, 359.8109
9.156255,-500.0,-500.0,-500.0,-500.0, -0.006656729, 0.01794092, 1.866461, 359.8055
9.257687,-500.0,-500.0,-500.0,-500.0, -0.006526083, 0.01801033, 1.896893, 359.8914
9.358429,-500.0,-500.0,-500.0,-500.0, -0.006568068, 0.01825237, 1.927642, 359.8946
9.458603,-500.0,-500.0,-500.0,-500.0, -0.006576696, 0.01766977, 1.958857, 359.9119
9.561021,-500.0,-500.0,-500.0,-500.0, -0.006529357, 0.01774225, 1.996697, 359.9554
9.662511,-500.0,-500.0,-500.0,-500.0, -0.006646383, 0.01797377, 2.028066, 359.9169
9.763351,-500.0,-500.0,-500.0,-500.0, -0.006854345, 0.01779979, 2.059793, 359.8203
9.865713,-500.0,-500.0,-500.0,-500.0, -0.007040852, 0.01820122, 2.090836, 359.7901
9.968039,-500.0,-500.0,-500.0,-500.0, -0.00712696, 0.0179043, 2.122376, 359.7878
10.08374,-400.0,-400.0,-400.0,-400.0, -0.007397689, 0.01803555, 2.159037, 359.7276
10.18467,-400.0,-400.0,-400.0,-400.0, -0.007582101, 0.01784325, 2.184484, 359.6892
10.28496,-400.0,-400.0,-400.0,-400.0, -0.007814929, 0.01765298, 2.209757, 359.6591
10.38535,-400.0,-400.0,-400.0,-400.0, -0.007783926, 0.01781444, 2.234892, 359.7364
10.48713,-400.0,-400.0,-400.0,-400.0, -0.007940244, 0.01775561, 2.260254, 359.7247
10.589,-400.0,-400.0,-400.0,-400.0, -0.008139299, 0.01765808, 2.28529, 359.6853
10.69063,-400.0,-400.0,-400.0,-400.0, -0.008415058, 0.01783772, 2.310838, 359.6058
10.79212,-400.0,-400.0,-400.0,-400.0, -0.008728176, 0.01763254, 2.336401, 359.5521
10.89237,-400.0,-400.0,-400.0,-400.0, -0.008904969, 0.01778031, 2.361399, 359.5637
10.9942,-400.0,-400.0,-400.0,-400.0, -0.009120471, 0.01794162, 2.386896, 359.5381
11.09615,-400.0,-400.0,-400.0,-400.0, -0.009328914, 0.01797096, 2.411465, 359.5388
11.19679,-400.0,-400.0,-400.0,-400.0, -0.009516267, 0.01798829, 2.436068, 359.541
11.29773,-400.0,-400.0,-400.0,-400.0, -0.009762235, 0.01769641, 2.461318, 359.526
11.39886,-400.0,-400.0,-400.0,-400.0, -0.009977571, 0.01765016, 2.486664, 359.5172
11.50022,-400.0,-400.0,-400.0,-400.0, -0.010258, 0.01749504, 2.517259, 359.4766
11.6003,-400.0,-400.0,-400.0,-400.0, -0.01048997, 0.01773588, 2.542394, 359.5028
11.70075,-400.0,-400.0,-400.0,-400.0, -0.01071437, 0.01758001, 2.568223, 359.4875
11.80087,-400.0,-400.0,-400.0,-400.0, -0.01093718, 0.01777089, 2.593444, 359.5033
11.90139,-400.0,-400.0,-400.0,-400.0, -0.01117076, 0.01770875, 2.618829, 359.4765
12.00356,-500.0,-500.0,-500.0,-500.0, -0.01131913, 0.01772667, 2.644215, 359.5257
12.10448,-500.0,-500.0,-500.0,-500.0, -0.01152212, 0.0179204, 2.668577, 359.5288
12.20549,-500.0,-500.0,-500.0,-500.0, -0.01171418, 0.01794814, 2.693445, 359.5297
12.30627,-500.0,-500.0,-500.0,-500.0, -0.01192554, 0.01761734, 2.718733, 359.5347
12.40638,-500.0,-500.0,-500.0,-500.0, -0.01217322, 0.01787816, 2.744292, 359.5167
12.50721,-500.0,-500.0,-500.0,-500.0, -0.01237266, 0.01764139, 2.769827, 359.5152
12.60824,-500.0,-500.0,-500.0,-500.0, -0.01259282, 0.0177393, 2.794744, 359.5225
12.70929,-500.0,-500.0,-500.0,-500.0, -0.01281169, 0.01762994, 2.820879, 359.5026
12.80933,-500.0,-500.0,-500.0,-500.0, -0.01312948, 0.0181042, 2.851228, 359.4778
12.90954,-500.0,-500.0,-500.0,-500.0, -0.01326207, 0.01779435, 2.883152, 359.567
13.01048,-500.0,-500.0,-500.0,-500.0, -0.01357297, 0.01814769, 2.914073, 359.5096
13.11212,-500.0,-500.0,-500.0,-500.0, -0.01392168, 0.01802584, 2.945706, 359.48
13.21219,-500.0,-500.0,-500.0,-500.0, -0.01424583, 0.01787864, 2.977524, 359.4713
13.31235,-500.0,-500.0,-500.0,-500.0, -0.01428531, 0.01793321, 3.009297, 359.5806
13.41319,-500.0,-500.0,-500.0,-500.0, -0.01446135, 0.01794174, 3.04121, 359.6051
13.51416,-500.0,-500.0,-500.0,-500.0, -0.01475835, 0.01776275, 3.073684, 359.5764
13.61556,-500.0,-500.0,-500.0,-500.0, -0.01494957, 0.01817077, 3.104938, 359.5875
13.71679,-500.0,-500.0,-500.0,-500.0, -0.01511521, 0.01811179, 3.136784, 359.6049
13.81778,-500.0,-500.0,-500.0,-500.0, -0.01547236, 0.01811165, 3.167909, 359.5227
13.91879,-500.0,-500.0,-500.0,-500.0, -0.01566733, 0.01796015, 3.199573, 359.574
14.01959,-500.0,-500.0,-500.0,-500.0, -0.01580875, 0.01781671, 3.231201, 359.6255
14.12069,-500.0,-500.0,-500.0,-500.0, -0.01577493, 0.01759536, 3.269758, 359.7292
14.22107,-500.0,-500.0,-500.0,-500.0, -0.01599406, 0.01791746, 3.301797, 359.7187
14.32331,-500.0,-500.0,-500.0,-500.0, -0.01620343, 0.01760118, 3.334455, 359.6831
14.4247,-500.0,-500.0,-500.0,-500.0, -0.01636689, 0.01800879, 3.365646, 359.7028
14.52471,-500.0,-500.0,-500.0,-500.0, -0.01627888, 0.01794218, 3.397278, 359.7978
14.62522,-500.0,-500.0,-500.0,-500.0, -0.01639237, 0.01810969, 3.428433, 359.7813
14.72558,-500.0,-500.0,-500.0,-500.0, -0.01656182, 0.01810015, 3.460157, 359.7581
14.82701,-500.0,-500.0,-500.0,-500.0, -0.01661549, 0.01785094, 3.491856, 359.8178
14.92736,-500.0,-500.0,-500.0,-500.0, -0.01646633, 0.01778449, 3.52404, 359.9096
15.029,-500.0,-500.0,-500.0,-500.0, -0.01631265, 0.01797478, 3.555849, -0.001278808
15.12908,-500.0,-500.0,-500.0,-500.0, -0.01630753, 0.01757404, 3.588398, 0.01770532
15.22918,-500.0,-500.0,-500.0,-500.0, -0.01627286, 0.01816806, 3.619755, 0.0137674
15.32932,-500.0,-500.0,-500.0,-500.0, -0.01615733, 0.01794833, 3.651396, 0.06903329
15.43011,-500.0,-500.0,-500.0,-500.0, -0.01611046, 0.01806129, 3.682822, 0.05703475
15.53164,-500.0,-500.0,-500.0,-500.0, -0.01615615, 0.01799584, 3.714856, 0.0237561
15.63217,-500.0,-500.0,-500.0,-500.0, -0.01617406, 0.01793037, 3.746604, 359.9897
